marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
che cosa usano marta e il papà per costruire?||||MARTA+PAPÀ+COSTRUIRE+(PRESENTE)+USARE+(PRESENTE)
la mamma entra nella cameretta di simone avvisandolo che è tardi e che è ora di alzarsi.||||MAMMA+CAMERETTA+SIMONE+ENTRARE+(PASSATO)+AVVISARE+(PASSATO)+TARDO+ESSERE+(PRESENTE)+ALZARE+(FUTURO)
birillo, il cane, continua a dormire sul tappeto vicino al letto del suo padroncino.||||BIRILLO+CANE+TAPPETO+LETTO+PEPITA+DORMIRE+(PRESENTE)
simone finalmente si alza e va verso il bagno seguito da birillo.||||SIMONE+ALZARE+(PASSATO)+ANDARE+(PASSATO)+SEGUITO+BIRILLO+BAGNO
dopo essersi lavato, comincia a vestirsi.||||LAVARE+(PASSATO)+VESTIRE+(PRESENTE)
si infila il maglione cercando di fare in fretta, mentre birillo gli si avvicina con la palla in bocca e tanta voglia di giocare.||||MAGLIONE+INFILARE+(PRESENTE)+FRETTA+FARE+(PRESENTE)+BIRILLO+PALLA+BOCCA+AVVICINARE+(PRESENTE)+VOLERE+(PRESENTE)+GIOCARE+(FUTURO)
simone, però, non ha tempo perché è proprio tardi e la colazione lo aspetta.||||SIMONE+NON+TEMPO+TARDO+ESSERE+(PRESENTE)+COLAZIONE+ASPETTARE+(PRESENTE)
allora birillo ruba i pantaloni del suo padrone e scappa fuori dalla cameretta.||||BIRILLO+RUBARE+(PASSATO)+PANTALONI+PADRONE+SCAPPARE+(PASSATO)+CAMERETTA
il bambino lo insegue correndo.||||BAMBINO+INSEGUIRE+(PRESENTE)+CORRERE+(PRESENTE)
finalmente, in soggiorno, riesce ad acchiapparlo e a riprendersi i suoi pantaloni.||||SOGGIORNO+ACCHIAPPARE+(PASSATO)+PANTALONI+RIPRENDERE+(PASSATO)
simone e birillo si sono sicuramente divertiti, ma la mamma arrabbiata li osserva da lontano.||||SIMONE+BIRILLO+DIVERTIRE+(PASSATO)+MAMMA+ARRABBIATO+OSSERVARE+(PRESENTE)+LONTANO
la mamma entra nella cameretta di simone avvisandolo che la sveglia è suonata già da tempo e che è ora di alzarsi, altrimenti farà tardi a scuola.||||MAMMA+CAMERETTA+SIMONE+(ENTRARE+(PASSATO))+SVEGLIA+(SUONARE+(PASSATO))+ALZARSI+(DOVERE+(PRESENTE))+SCUOLA+(ARRIVARE+(FUTURO))+(FARMENTRE+(PRESENTE))+(TARDI+(PRESENTE))
birillo, il cane, sdraiato tranquillamente sul tappeto vicino al letto, sentendo un po' di trambusto apre un occhio per controllare la situazione.||||BIRILLO+CANE+TAPPETO+LETTO+(SDRAIARE+(PASSATO))+TRANQUILLAMENTE+(SENTIRE+(PRESENTE))+TRAMBUSO+SITUAZIONE+(APRIRE+(PRESENTE))+OCCHIO+(CONTROLLARE+(PRESENTE))
appena il suo padroncino si alza per andare verso il bagno, birillo lo segue.||||PADRONCINO+BIRILLO+ALZARSI+BAGNO+(ANDARE+(PRESENTE))+(SEGUIRE+(PRESENTE))
come ogni mattina, la mamma ha preparato i vestiti per simone sulla sedia vicino alla scrivania.||||MAMMA+MATTINA+OGNI+VESTITI+SIMONE+SEDIA+SCRIVANIA+(PREPARARE+(PASSATO))
il bambino comincia a vestirsi cercando di fare in fretta, ma birillo lo distrae girandogli attorno con la palla in bocca.||||BAMBINO+VESTIRSI+(COMINCIARE(PRESENTE))+FRETTA+(FARE+(PRESENTE))+BIRILLO+PALLA+BOCCA+(GIRARE(PRESENTE))+(DISTRAERE(PRESENTE))
ha tanta voglia di giocare, ma simone capisce che non è proprio il momento giusto perché la colazione lo sta aspettando.||||GIOCARE+VOGLIA+TANTA+MA+SIMONE+MOMENTO+GIUSTO+NON+PERCHÉ+COLAZIONE+(ASPETTARE+(PRESENTE))+(CADERE+(PRESENTE))
allora birillo, furbetto, con rapidità ruba i pantaloni del suo padrone e  scappa fuori dalla cameretta.||||BIRILLO+FURBETTO+PANTALONI+PADRONE+CAMERETTA+(RUBARE+(PRESENTE))+RAPIDITÀ+(SCAPPARE+(PRESENTE))
simone lo insegue chiamandolo a gran voce.||||SIMONE+BIRILLO+(INSEGUIRE+(PRESENTE))+VOCE+GRANDE+(CHIAMARE+(PRESENTE))
finalmente, in soggiorno, riesce ad acchiapparlo e a riprendersi i suoi pantaloni.||||SOGGIORNO+FINALMENTE+SIMONE+BIRILLO+PANTALONI+(RIUSCIRE+(PRESENTE))+(ACCHIAPPARE+(PRESENTE))+(RIPRENDERE+(PRESENTE))
il cane e il bambino si sono sicuramente divertiti, ma la mamma arrabbiata li osserva da lontano.||||CANE+BAMBINO+DIVERTIRSI+CERTAMENTE+MA+MAMMA+ARRABBIATA+LONTANO+(OSSERVARE+(PRESENTE))
alla fattoria dello zio vittorio ci sono tanti animali.||||FATTORIA+ZIO+VITTORIO+ANIMALI+TANTI+(PRESENTE)+AVERE
federico si sente al settimo cielo: ha visto pascolare le mucche, le pecore e le capre; ha accarezzato i coniglietti e rincorso le galline.||||FEDERICO+SETTIMO+CIELO+SENTIRE+(PASSATO):+MUCHE+PECORE+CAPRE+PASCOLARE+(PASSATO)+VEDERE,+CONIGLIETTI+ACCAREZZARE+(PASSATO),+GALLINE+RINCORRERE+(PASSATO)
ora osserva i cavalli nel grande recinto: che manto lucido e che muscolatura possente!||||ORA+CAVALLI+RECINTO+GRANDE+OSSERVARE+(PRESENTE),+MANTO+LUCIDO,+MUSCOLATURA+POSSENTE+RIFLETTERE
sarebbe proprio bello cavalcarli.||||CAVALLI+CAVALCARE+(FUTURO)+BELLO+ESSERE+(PRESENTE)
mentre mamma e papà chiacchierano con lo zio, federico si arrampica sul recinto e sale in groppa al cavallo più vicino.||||MAMMA+PAPÀ+ZIO+CHIACCHIERARE+(PRESENTE),+FEDERICO+RECINTO+ARRAMPICARE+(PRESENTE)+E+CAVALLO+GROPPO+SALIRE+(PRESENTE)
il povero animale, colto di sorpresa, si spaventa e comincia a correre veloce.||||ANIMALE+POVERO+SORPRESA+COLTO,+SPAVENTARSI+(PRESENTE),+CORRERE+VELOCE+COMINCIARE+(PRESENTE)
federico cerca di tenersi stretto stretto alla criniera.||||FEDERICO+CRINIERA+TENERE+STRETTO+STRETTO+CERCARE+(PRESENTE)
mentre i genitori del bambino assistono sorpresi alla scena, lo zio prende una lunga corda, sale in sella al suo cavallo e cerca di raggiungere quello di federico.||||GENITORI+BAMBINO+SCENA+SORPRESI+ASSISTERE+(PRESENTE),+ZIO+CORPO+LUNGO+PRENDERE+(PRESENTE),+CAVALLO+SELLARE+(PRESENTE)+E+CAVALLO+FEDERICO+RAGGIUNGERE+CERCARE+(PRESENTE)
con abilità lancia un lazo intorno al collo del cavallo in fuga, facendolo rallentare e poi fermare.||||ABILITÀ+POSSIBILITÀ+CON,+LAZO+COLLO+CAVALLO+FUGA+INTORNO+LANCIARE+(PRESENTE),+RALLENTARE+FARE+E+POI+FERMARE+(PRESENTE)
federico è spaventato ma salvo.||||FEDERICO+SPAVENTATO+ESSERE+(PRESENTE)+MA+SALVO
mentre lo zio tranquillizza il cavallo, i genitori abbracciano e subito dopo sgridano il bambino: ha fatto veramente una cosa pericolosa.||||ZIO+CAVALLO+TRANQUILLIZZARE+(PRESENTE),+GENITORI+BAMBINO+ABBRACCIARE+E+POI+SGRIDARE+(PRESENTE):+COSA+PERICOLOSA+FARE+VERAMENTE+(PASSATO)
da tanto tempo mamma e papà avevano promesso a federico di andare a trovare lo zio vittorio nella sua fattoria.||||MAMMA+PAPÀ+FEDERICO+ZIO+VITTORIO+FATTORIA+PROMETTERE+(PASSATO)
finalmente il giorno è arrivato.||||GIORNO+ARRIVARE+(PASSATO)
quanti animali!||||ANIMALI+QUANTI
le mucche pascolano nel prato insieme alle capre e alle pecore;||||MUCCHE+PRATO+PASCERE+(PRESENTE)+CAPRE+PECORE+INSIEME
i coniglietti saltellano spaventati allontanandosi dai visitatori e le galline razzolano nel cortile.||||CONIGLIETTI+SALTELLARE+(PRESENTE)+SPAVENTATO+ALLONTANARSI+(PRESENTE)+VISITATORI+GALLINE+RAZZOLARE+(PRESENTE)+CORTILE
nel grande recinto della fattoria ci sono i cavalli: che manto lucido e che muscolatura possente!||||RECINTO+GRANDE+FATTORIA+CAVALLI+ESSERCI+(PRESENTE)+MANTO+LUCIDO+MUSCOLATURA+POSSENTE
sarebbe proprio bello cavalcarli.||||CAVALCARE+(CONDIZIONALE)+BELLO
mentre mamma e papà chiacchierano con lo zio, federico, zitto zitto, si arrampica sul recinto e sale in groppa al cavallo più vicino.||||MAMMA+PAPÀ+CHIACCHIERARE+(PRESENTE)+ZIO+FEDERICO+ZITTO+ARRAMPICARE+(PRESENTE)+RECINTO+CAVALLO+VICINO+SALE+(PRESENTE)
gli sarebbe bastato solo stare lì per qualche minuto e fingere di essere un cowboy, ma il cavallo si spaventa e comincia a correre veloce.||||CAVALLO+SPAVENTARSI+(PASSATO)+CORRERE+(PRESENTE)+VELOCE+FEDERICO+MINUTO+QUALCHE+STARE+(CONDIZIONALE)+FINGERE+(CONDIZIONALE)+COWBOY
federico cerca di tenersi alla criniera, sperando che prima o poi il cavallo si fermi.||||FEDERICO+TENERSI+(PRESENTE)+CRINIERA+SPERARE+(PRESENTE)+CAVALLO+FERMARSI+(FUTURO)
mentre i genitori assistono sorpresi alla scena, lo zio prende una lunga corda, sale in sella al suo cavallo e cerca di raggiungere quello del bambino.||||GENITORI+ASSISTERE+(PRESENTE)+SORPRESO+SCENA+ZIO+PRENDERE+(PRESENTE)+CORDA+LUNGA+CAVALLO+SUO+SALIRE+(PRESENTE)+SELLA+RAGGIUNGERE+(PRESENTE)+CAVALLO+BAMBINO
con abilità lancia un lazo intorno al collo del cavallo in fuga, facendolo rallentare e poi fermare.||||ABILITÀ+LANCIARE+(PRESENTE)+LAZO+COLLO+CAVALLO+FUGA+RALLENTARE+(PRESENTE)+FERMARE+(FUTURO)
federico è spaventato ma salvo.||||FEDERICO+SPAVENTATO+MA+SALVO
mentre lo zio tranquillizza il cavallo, accarezzandolo e parlandogli dolcemente, i genitori abbracciano e subito dopo sgridano il bambino: ha fatto veramente una cosa pericolosa.||||ZIO+TRANQUILLIZZARE+(PRESENTE)+CAVALLO+ACCAREZZARE+(PRESENTE)+PARLARE+(PRESENTE)+DOLCEMENTE+GENITORI+ABBRACCIARE+(PRESENTE)+SGRIANARE+(PRESENTE)+BAMBINO+SUBITO+DOPO+FARE+(PASSATO)+COSA+PERICOLOSO
sulla strada c'è traffico.||||TRAFFICO+STRADA+(PRESENTE)
quando marta e la mamma arrivano al parcheggio della piscina, è tardi: la lezione di nuoto inizierà tra qualche minuto.||||MARTA+MAMMA+PARCHEGGIO+PISCINA+(PASSATO)+TARDI+LEZIONE+NUOTO+INIZIARE+(FUTURO)
mentre marta comincia a correre verso gli spogliatoi, la mamma scarica il borsone dal bagagliaio e si avvia veloce per raggiungere la bambina.||||MARTA+CORRERE+(PRESENTE)+SPOGLIATOI+MAMMA+BORSONE+BAGAGLIAIO+SCARICARE+(PRESENTE)+RAGGIUNGERE+(PRESENTE)+BAMBININA
marta comincia a cambiarsi, mentre la mamma si siede su una panca lì vicino, cercando di riprendersi dalla corsa che hanno fatto.||||MARTA+CAMBIARSI+(PRESENTE)+MAMMA+PANCA+VICINO+SEDERE+(PRESENTE)+RIPRENDERSI+(PRESENTE)+CORSA
«mamma, non riesco a trovare la cuffia, mi aiuti?» così in due cercano dentro il borsone svuotandolo completamente.||||MAMMA+CUFFIA+TROVARE+(PRESENTE)+AIUTARE+(FUTURO)+DUE+CERCARE+(PRESENTE)+BORSONE+SVUOTARE+(PRESENTE)
ma niente, la cuffia non c'è!||||NIENTE+CUFFIA+NON+ESSERE+(PRESENTE)
accidenti, questa non ci voleva!||||DISPIACERE
la mamma non si scoraggia e corre verso l'ingresso della piscina per comprarne una nuova, mentre marta preoccupata l'aspetta negli spogliatoi.||||MAMMA+NON+SCORAGGIARE+(PRESENTE)+CORRERE+(PRESENTE)+INGRESSO+PISCINA+COMPRARE+(FUTURO)+NUOVO+MARTA+PREOCCUPATA+ASPETTARE+(PRESENTE)+SPOGLIATOI
quando la vede tornare con una cuffia gialla e bianca in mano, tira un sospiro di sollievo... adesso può raggiungere la sua istruttrice e i suoi compagni.||||VEDERE+(PASSATO)+TORNARE+(PASSATO)+CUFFIA+GIALLO+BIANCO+MANO+SOLLIEVO+SOSPARE+(PRESENTE)+ORA+RAGGIUNGERE+(FUTURO)+ISTRUTTRICE+COMPAGNI
marta e la mamma scendono velocemente dall'auto.||||MARTA+MAMMA+(SCENDERE)+[PASSATO]+AUTO+VELOCEMENTE
sono in ritardo.||||(ESSERE)+[PRESENTE]+RITARDO
fra qualche minuto inizierà la lezione di nuoto||||MINUTO+POCHI+LEZIONE+NUOTO+(INIZIARE)+[FUTURO]
e marta non ha ancora indossato il costume.||||MARTA+COSTUME+NON+(INDOSSARE)+[PASSATO]
la mamma cammina veloce con il borsone su una spalla.||||MAMMA+BORSONE+SPALLA+(CAMMINARE)+[PRESENT]+VELOCE
mentre la bambina corre avanti, verso gli spogliatoi.||||BAMBINA+SPOGLIATOI+(CORRERE)+[PRESENT]+AVANTI
marta comincia a cambiarsi||||MARTA+(COMINCIARE)+[PRESENT]+CAMBIARSI
mentre la mamma si riposa su una panca lì vicino.||||MAMMA+PANCHINA+VICINO+LÌ+(RIPOSARE)+[PRESENT]
«mamma, non riesco a trovare la cuffia! mi aiuti?»||||MAMMA+CUFFIA+NON+(TROVARE)+[PRESENT]+AIUTO+(DOMANDARE)+[PRESENT]
così in due cercano dentro il borsone, ma niente!||||DUE+(CERCARE)+[PRESENT]+INTERNO+BORSONE+MA+NIENTE
la cuffia non c'è.||||CUFFIA+NON+ESSERE
scoraggiata, marta si siede sulla panca,||||MARTA+SCORAGGIATA+PANCHINA+(SEDERSI)+[PASSATO]
mentre la mamma corre all'ingresso della piscina||||MAMMA+INGRESSO+PISCINA+(CORRERE)+[PRESENT]
per comprarne una nuova.||||NUOVO+CUFFIA+(COMPRARE)+[FUTURO]
qualche minuto dopo ritorna con una cuffia gialla e bianca||||MINUTO+POCHI+DOPO+(RITORNARE)+[PASSATO]+CUFFIA+GIALLO+BIANCO
marta la indossa e corre verso la vasca||||MARTA+CUFFIA+(INDOSSARE)+[PRESENT]+VASCA+(CORRERE)+[PRESENT]
dove l'aspetta la sua istruttrice.||||ISTRUTTRICE+(ASPETTARE)+[PRESENT]+MARTA
billi la volpe è proprio affamata;||||BILLI+VOLPE+AFFAMATO+(PRESENTE)+;
da qualche giorno nel bosco piove e i piccoli animali restano al riparo nelle loro tane,||||GIORNO+QUALCHE+BOSCO+PIOVERE+(PRESENTE)+ANIMALE+PICCOLO+TANA+RIMANERE+(PRESENTE)+COMMA
così la volpe fatica a trovare il cibo.||||COSÌ+VOLPE+CIBO+TROVARE+(PRESENTE)+PUNTO
finalmente oggi c’è il sole e billi si avvia verso la fattoria,||||FINALMENTE+OGGI+SOLE+BILLI+FATTOIA+ANDARE+(PASSATO)+COMMA
sperando di riuscire a catturare un coniglio o una gallina.||||CONIGLIO+GALLINA+SPERARE+(PRESENTE)+CATTURARE+(FUTURO)+PUNTO
si avvicina silenziosamente al recinto,||||RECINTO+AVVICINARE+(PRESENTE)+SILENZIOSO+PUNTO
ma a un tratto arriva la macchina del contadino.||||MA+MACCHINA+CONTADINO+ARRIVARE+(PRESENTE)+PUNTO
billi si spaventa, si nasconde dietro a un cespuglio e decide di aspettare la notte.||||BILLI+SPAVENTARE+(PRESENTE)+CESPUGLIO+NASCONDERE+(PRESENTE)+NOTTE+ASPETTARE+(FUTURO)+PUNTO
è una bella giornata di sole e le montagne sono veramente splendide.||||GIORNATA+BELLA+SOLE+MONTAGNA+VERAMENTE+SPLENDIDA
sara cammina, seguita dai suoi genitori, lungo uno stretto sentiero di montagna che sale verso il rifugio.||||SARA+GENITORI+SENTIERO+STRETTO+MONTAGNA+(CAMMINARE,+PRESENTE)+RIFUGIO+(DIREZIONE,+FUTURO)
in testa porta un cappellino per il sole, ai piedi degli scarponcini e al collo la sua inseparabile macchina fotografica.||||SARA+CAPPELLINO+SOLE+SCARPONCINI+MACCHINA+FOTOGRAFICA+INSEPARABILE
le piace molto fotografare i paesaggi, ma ancora di più vorrebbe riuscire a immortalare qualche animale di montagna.||||SARA+PAESAGGIO+(PIACERE,+PRESENTE)+FOTOGRAFARE+ANIMALE+MONTAGNA+(VOLERE,+PRESENTE)+(RIUSCIRE,+FUTURO)
sul sentiero ci sono solo loro, intorno c’è silenzio.||||LORO+SENTIERO+SOLO+INTORNO+SILENZIO
all’improvviso sara si ferma perché le sembra di aver visto qualcosa muoversi vicino ad alcune rocce.||||SARA+(FERMARE,+PRESENTE)+PERCHÉ+LE+(SEMBRARE,+PRESENTE)+QUALCOSA+(VEDERE,+PASSATO)+MUOVERE+VICINO+ROCCIA
incredibile! due marmotte se ne stanno tranquille tra l’erba a lanciare i loro acutissimi fischi.||||INCREDIBILE+DUE+MARMOTTA+TRANQUILLE+ERBA+FISCHIO+ACUTISSIMO
così sara riesce a scattare una serie di belle foto.||||COSÌ+SARA+(RIUSCIRE,+PRESENTE)+FOTO+BELLE+SERIE+(SCATTARE,+PRESENTE)
non appena sara e i genitori riprendono il cammino, i piccoli animaletti si rifugiano nella loro tana sotto la roccia.||||SARA+GENITORI+(RIPRENDERE,+FUTURO)+CAMMINO+ANIMALETTI+PICCOLI+(RIFUGIARE,+FUTURO)+TANA+SOTTO+ROCCIA
era una regione fredda e ostile quella in cui viveva il grande branco del lupo più furbo e intelligente che si fosse mai visto.||||REGIONE+FREDDO+OSTILE+LUPO+GRANDE+BRANCO+LUPO+FURBO+INTELLIGENTE+VIVERE+(PASSATO)
i suoi simili lo seguivano con rispetto e obbedivano ad ogni suo ordine, timorosi di non tradirlo ben conoscendo la portata della sua forza.||||LUPO+SIMILI+LUPO+ORDINE+SEGUIRE+(PASSATO)+OBBEDIRE+(PASSATO)+TIMORE+TRADIRE+CONOSCERE+(PASSATO)+PORTATA+FORZA
esso era soprannominato "il pirata" a causa di quella benda scura che gli copriva l'occhio sinistro perso in chissà quali battaglie.||||LUPO+SOPRANNOME+IL+PIRATA+CAUSA+BENDA+OSCURA+COPRIRE+(PASSATO)+OCCHIO+SINISTRO+PERDERE+(PASSATO)+BATTAGLIA
molte giovani lupe si erano innamorate di lui, colpite da quel suo fare sicuro e deciso e da quella sua aria sempre un poco malinconica.||||LUPE+GIOVANI+LUPO+INNAMORARE+(PASSATO)+COLPIRE+(PASSATO)+FARE+SICURO+DECISO+ARIA+MALINCONICO
ma il lupo non aveva voluto formare una famiglia perché quel suo spirito di avventuriero gli impediva di avere un focolare dove vivere.||||LUPO+FAMIGLIA+FORMARE+(PASSATO)+NO+SPIRITO+AVVENTURIERO+IMPEDIRE+(PASSATO)+FOCOLARE+VIVERE+NO
ultimamente però, quel vecchio lupo aveva dei problemi.||||LUPO+VECCHIO+ULTIMO+PROBLEMA+AVERE+(PASSATO)
si trattava del cibo.||||PROBLEMA+CIBO
purtroppo il gelo dell'inverno aveva fatto fuggire ogni preda e distrutto ogni raccolto facendo scarseggiare il mangiare.||||INVERNO+GELO+CAUSA+FUGGIRE+(PASSATO)+PREDA+DISTRUGGERE+(PASSATO)+RACCOLTO+MANGIARE+SCARSEGGIARE
inoltre un feroce branco di cani selvatici si aggirava da quelle parti, rubando e invadendo ogni cosa appartenente ai lupi.||||CANI+SELVATICI+BRANCO+FEROCE+AGGIRARE+(PASSATO)+RUBARE+(PASSATO)+INVADERE+(PASSATO)+LUPO+PROPRIETÀ
per questo decise di affrontare il comandante dei cani in un'unica e decisiva battaglia al termine della quale il vincitore avrebbe preso pieno possesso di tutto il territorio scacciando il perdente.||||LUPO+DECIDERE+(PASSATO)+AFFRONTARE+COMANDANTE+CANI+BATTAGLIA+UNICA+DECISIVA+VINCITORE+POSSEDERE+(FUTURO)+COMPLETAMENTE+TERRITORIO+SCACCIARE+(FUTURO)+PERDENTE
i cani, disordinati e divisi cercarono di difendersi in qualche modo ma persero comunque la guerra fuggendo via sconfitti.||||CANI+DISORDINATO+DIVISO+DIFENDERE+(PASSATO)+GUERRA+PERDERE+(PASSATO)+FUGGIRE+(PASSATO)+SCONFITTO
"la migliore arma per vincere qualsiasi battaglia è l'unione!" spiegò al suo felice branco di lupi.||||LUPO+ARMA+MIGLIORE+UNIONE+SPIEGARE+(PASSATO)+BRANCO+LUPO+FELICE
"i cani appartenevano a razze diverse ed era impossibile riuscire a coordinarli. per questo abbiamo vinto!"||||CANI+RAZZA+DIVERSO+APPARTENERE+(PASSATO)+COORDINARE+IMPOSSIBILE+VINCERE+(PASSATO)
così, in un coro di grida gioiose i lupi riacquistarono la padronanza del loro territorio.||||LUPO+GIOIOSO+GRIDO+CORO+TERRITORIO+PADRONANZA+RIACQUISTARE+(PASSATO)
un bellissimo cerbiatto dal manto scuro e con delle stupende macchioline bianche sul dorso viveva con la sua famiglia in una meravigliosa foresta con un ricchissimo sottobosco che offriva cibo in abbondanza.||||CERBIATTO+MANTO+SCURO+MACCHIOLINE+BIANCHE+DORSO+FAMIGLIA+FORESTA+SOTTOBOSCO+CIBO+ABBONDANTE+(VIVEREPASSATO)
il cerbiatto ammirava il suo caro babbo e desiderava diventare grande e forte proprio come lui aspettando con ansia che gli spuntassero finalmente le stesse lunghissime corna che tutti invidiavano al suo genitore.||||CERBIATTO+BABBO+CARO+CORNA+LUNGHISSIME+INVIDIARE+(AMMIRAREPRESENTE)+(DESIDERAREPRESENTE)+(DIVENTAREPRESENTE)+FORTE+(ASPETTAREPRESENTE)
nell'impazienza di quel momento egli seguiva costantemente il grosso cervo cercando di imitarlo in ogni cosa.||||CERVO+GROSSO+CERBIATTO+COSTANTE+(SEGUIREPRESENTE)+(IMITAREPRESENTE)
durante un bel mattino di fine inverno, mentre il grande cervo brucava tranquillo le foglie dei cespugli più bassi in compagnia dell'inseparabile figliolo, un possente ruggito squarciò il silenzio della foresta.||||MATTINO+FINE+INVERNO+CERVO+GRANDE+FOLIA+CESPUGLI+BASSO+FIGLIOLO+INSEPARABILE+(BRUCAREPRESENTE)+RUGGITO+PONENTE+SILENZIO+FORESTA+(SQUARCIAREPASSATO)
era un leone!||||LEONE
il cerbiatto sconcertato osservò il suo babbo e, con enorme stupore scoprì che questi tremava come un fuscello al vento.||||CERBIATTO+BABBO+SCONCERTATO+STUPORE+ENORME+(OSSERVAREPRESENTE)+(SCOPRIREPRESENTE)+TREMARE+(COME)+FUSCELLO+VENTO
sì, il suo venerato papà aveva paura!||||BABBO+VENERATO+PAURA+(AVEREPASSATO)
come era possibile?||||(COME)+POSSIBILE+(ESSEREPASSATO)
ma prima ancora che egli potesse chiedergli spiegazioni il cervo gridò al figlio: "corri!" e si lanciò in una velocissima fuga.||||MA+PRIMA+CHIEDERE+SPIEGAZIONE+CERVO+FIGLIO+(GRIDAREPASSATO)+CORRERE+FUGA+VELOCISSIMA+(LANCIAREPASSATO)
il cucciolo obbediente lo seguì con le lacrime agli occhi per la vergogna e la delusione.||||CUCCIOLO+OBBEDIENTE+LACRIME+OCCHI+VERGOGNA+DELUSIONE+(SEGUIREPASSATO)
quando finalmente si fermarono il cervo si avvicinò al figlio e scorgendo il suo pianto gli parlò con voce dolce: "piccolo mio, questa paura che tu disprezzi ci ha salvato la vita. quel leone non avrebbe avuto pietà di noi e ci avrebbe sicuramente sbranati se non fossimo fuggiti. a volte bisogna ingoiare il proprio orgoglio e sapersi arrendere di fronte a chi é più forte di noi. questo significa diventare adulti e saggi."||||QUANDO+FINALMENTE+FERMARE+CERVO+FIGLIO+PIANTO+VOCE+DOLCE+(AVVICINAREPASSATO)+(SCORGEREPASSATO)+(PARLAREPASSATO)+PAURA+DISPREZZARE+SALVARE+VITA+LEONE+PIETÀ+NOI+SBRANARE+FUGGIRE+(AVERECONDIZIONALE)+INGOIARE+ORGOGLIO+ARRENDERE+FORTE+DIVENTARE+ADULTO+SAGGIO+(SIGNIFICAREPASSATO)
quelle parole consolarono il cerbiatto.||||PAROLE+CERBIATTO+(CONSOLAREPASSATO)
adesso ammirava ancora di più quel suo babbo che non aveva esitato a dimostrarsi un fifone rischiando di perdere la stima del figlio pur di salvargli la vita.||||ADESSO+ANCORA+PIÙ+AMMIRARE+BABBO+ESSERE+FIFONE+RISCHIARE+PERDERE+STIMA+FIGLIO+SALVARE+VITA+(AVEREPASSATO)
questo era il vero coraggio.||||QUESTO+ESSERE+CORAGGIO+VERO+(ESSEREPASSATO)
nella vita serve più coraggio per rinunciare ad affrontare persone più forti e prepotenti piuttosto che per accettare sfide inutili e violente.||||VITA+CORAGGIO+PIÙ+RINUNCIARE+AFFRONTARE+PERSONE+FORTE+PREPOTENTE+PIUTTOSTO+CHE+ACCETTARE+SFIDE+INUTILI+VIOLENTE+(SERVIREPRESENTE)
ammirando il proprio bell'aspetto fiero e slanciato l'animale era orgoglioso di sé stesso.||||ANIMALE+ASPETTO+BELLO+FIERO+SLANCIATO+(PASSATO)+ESSERE+ORGOGLIOSO+SE+STESSO
le sue lunghe e ramificate corna erano stupende e si ergevano decise verso l'alto come fossero maestose corone.||||CORNA+LUNGHE+RAMIFICATE+STUPENDE+(PASSATO)+ERGERSI+DECISE+ALTO+CORONA+MAESTOSE
il suo muso allungato era delicato e deciso come quello di un principe e l'intero suo corpo era forte e robusto.||||MUSO+ALLUNGATO+DELICATO+DECISO+PRINCIPE+CORPO+INTERO+FORTE+ROBUSTO
le uniche cose che a suo avviso non erano degne di lui erano quelle sue zampette troppo fragili e delicate. e sì, se fossero state almeno un poco più grosse non avrebbero stonato con il suo fisico possente.||||COSE+UNICHE+AVVISO+SUO+(PASSATO)+ESSERE+NON+DEGNE+LUI+ZAMPETTE+TROPPO+FRAGILI+DELICATE+(CONDIZIONALE)+ESSERE+GROSSE+UN+POCO+(CONDIZIONALE)+NON+STONARE+FISICO+POSSENTE
ma proprio mentre egli era tutto intento a rimirarsi, un brusco movimento alle sue spalle risvegliò la sua attenzione: qualcuno lo stava spiando!||||MA+MENTRE+LUI+TUTTO+INTENTO+(PASSATO)+RIMIRARSI+MOVIMENTO+BRUSCO+SPALLE+SUE+(PASSATO)+RISVEGLIARE+ATTENZIONE+SUA+QUALCUNO+(PASSATO)+SPIARE
si trattava di un grosso leone pronto a balzargli addosso alla prima occasione.||||SI+TRATTARE+LEONE+GROSSO+PRONTO+(FUTURO)+BALZARE+ADDOSSO+PRIMA+OCCASIONE
fortunatamente il cervo si accorse in tempo di lui e riuscì ad allontanarsi cautamente dalla fonte per andare a nascondersi dietro ad un grande cespuglio.||||FORTUNATAMENTE+CERVO+(PASSATO)+ACCORGERSI+TEMPO+LUI+(PASSATO)+RIUSCIRE+(PASSATO)+ALLONTANARSI+CAUTAMENTE+FONTE+(PASSATO)+ANDARE+NASCONDERSI+DIETRO+GRANDE+CESPUGLIO
l'enorme felino però riuscì senza difficoltà a rintracciare la sua preda a causa delle lunghe corna di quest'ultima che ne tradivano la presenza.||||FELINO+ENORME+MA+(PASSATO)+RIUSCIRE+SENZA+DIFFICOLTÀ+(PASSATO)+RINTRACCIARE+PREDA+SUA+CAUSA+CORNA+LUNGHE+ULTIMO+CHE+(PASSATO)+TRADIRE+PRESENZA
appena scovato, il cervo si lanciò in una velocissima fuga verso la salvezza.||||APPENA+(PASSATO)+SCOVARSI+CERVO+(PASSATO)+LANCARSI+FUGA+VELOCISSIMA+VERSO+SALVEZZA
